Agriculture & waste	17	"The agricultural practices, such as N (nitrogen) fertilizer use, have large impact on emission. How is Nitrogen fertilizer use taken into account? (If it is the soil management practice what does the annual change mean (%pa): What is changing at that rate?)"	"We capture the total emissions per km2 of land farmed in the Òsoil managementÓ assumptions in sheet VI.a. We do not look at choices on specific fertilizer.
The change in emissions from soil management reflects changes through continued improvement in nutrient management practices on farms (declines are limited by an increase in bioenergy crop land in the scenarios where this occurs). 
Details from the Pathways analysis report:
- Compared to other sectors of the economy there is much greater scientific uncertainty in estimating emissions from agriculture and land use and predicting the effects of changing practices and drivers. For example, the amount of N2O released from spreading fertiliser can depend on soil type, the weather, and when and how the spreading was done. The Government is working with the research community to improve the UKÕs inventory of GHGs within the agriculture and land use sector so that our future policies are guided by the best evidence available and so farmers and land managers are properly credited for improvements in farming practice.
- The dominant source of agricultural N2O emissions is the breakdown of fertilisers and manures applied to the soils (33%), with significant contributions from indirect sources, notably from leaching and runoff (26%). Significant reductions to agricultural N2O emissions have been achieved since 1990,196 largely through more efficient use of fertilisers and reduced application to grasslands. The current methodology employed to estimate emissions of N2O from soil in the UK inventory is imprecise Ð soil characteristics, land use and fertiliser type are not currently differentiated and calculations are based on total tonnes of nitrogen applied. There is therefore much uncertainty around soil emissions. Approximate assumptions have been made within the trajectories for this section, but this remains an area where further work is needed to improve the analysis.
- Note - UK manufacture of fertilisers is included within industry (in the Chemicals and petrochemicals sector)."	Amber	wiki	Greg - would you be able to weave in the additional text?	GH	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Agriculture & waste	20	At waste management what does the abbreviation CDW stand for? (VI.b sheet)	"Construction and demolition waste.
See question 101 for other abbreviations used in the waste management sheet."	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Agriculture & waste	165	"How does the Excel manage land substitution?  We reviewed the ÒLand UseÓ sheet, and as we understood, it only gets information of the sector sheets.  But we couldnÕt find how the land substitution is managed across the sectors. 
"	TBD	Red			GH	Colombian team
All sectors	185	how do we keep the level of ambition consistent between technologies?	"There's no scientific way to ensure this. The most important is to keep well informed in team.
However the UK version isn't always consistent. For example, looking at the change of transportation in future we needed figures from our department for Transport from their models. Their most ambitious scenarios were not so ambitious on energy.
Generally if you use different studies then you'll find imbalance between different numbers, so the important thing is to use your team's judgmenet and consult with expert stakeholders, to make sure that the level of ambition is as consistent as possible.
"	Amber	Ed/Ruth			Mexican workshop
All sectors	144	How did you decide which technologies to include within the calculator?	"For this analysis, we consider technologies that are either already available or could be expected in the next 10 years.
While we can reasonably expect substantial improvements in the energy efficiency of these products, and in technologies that help us manage our use of them, it is impossible to predict accurately all technologies that will be invented by 2050, let alone how quickly they can be rolled out or which of those could significantly reduce energy demand by 2050. 
"	Amber	PAR	Still up to date?	GH/TC	Ruth question idea
All sectors	99	"If we keep the same levers, how much can we change numbers from the UK version?"	"It's up to your team to make a judgment about your trajectories and fixed assumptions, based on your country data and stakeholder expertise. But a few things to consider are:
-the UK's infrastructure (e.g. housing/transport) and trends may be very different to your country. Consider the differences currently, and think about what changes are most likely to happen in your country.
- avoid extreme figures which seem unlikely to be average for the whole country - e.g. bus occupancies of 45 may be very ambitious, given that there are times of data and parts of the country when vehicles will not be full to capacity
- be careful about extrapolating trends into the future: a small percentage increase now could make a very big difference in 2045, especially if you are assuming exponential growth. Make sure that you sense-check all your numbers, and discuss 2050 values with stakeholders."	Amber	Ruth	First draft - does it cover enough? Is it clear?	EH	Ruth question idea
All sectors	98	Sometimes we don't have any accurate predictions about the future - when is it OK to just assume that current values will continue?	"This is a really important question. For some assumptions, the difference they make is so negligible they will have no visible impact on any results. In this case, where there is no historic data available, it is reasonable to assume that today's values will continue into the future.
However for data that is likely to change results significantly, it might be better to:
- assume some level of sensible growth rather than none at all (this might involve projecting historical values into the future). You will need to decide whether this growth will be a straight line, or a curve
- you can also add this as an uncertain assumption where more stakeholder input is needed and open it out to stakeholder discussions.
In order to identify which assumptions are most critical to the final results, you could do sensitivity testing - this means just testing the most extreme values this assumption could take (for example, doubling and halving current values), and then seeing what effect this has on the end result. If it makes very little difference, then this assumption is less worth spending time on.
"	Amber	Ruth	First draft - does it cover enough? Is it clear?	EH	Ruth question idea
All sectors	95	"Initially we didn't quite feel to change the spreadsheet so much. At first we were quite cautious, didnÕt want to risk breaking some process
Now weÕre more confident, but could you give us any advice about where it's fine to change the spreadsheet, and where we should be more careful?
"	"We recommend keeping the same overall structure as the UK calculator, but there is plenty of flexibility to make changes yourself once you have familiarised yourself with the way the calculator works. The parts we would advise you not to change (because of the webtool) are: the Control sheet layout, the intermediate output sheet, and the key named ranges (everything to do with units, preferences, inputs and outputs).
We recommend using a colour-coding, so that your whole team uses the same conventions to mark areas of the spreadsheet:
- you may want to make that have been changed, are about to be changed
- you will want to indicate parts of the spreadsheet which are still using UK figures
- you might also want to use a consistent colour to mark numbers which have been changed as a rough estimate, but where you are still planning to go back and improve the figures."	Amber	Ruth	First draft - does it cover enough? Is it clear?	EH	Mexico - transport call
All sectors	166	"For each sector the sum of the outputs is zero.  We assume the output vectors calculate how much energy is used by sector, for example: heating, transport, etc. In the same way the calculator also estimate the sources of energy,  for example: liquid hydrocarbons or gaseous hydrocarbons."	"This is correct- the distinction is between sources of energy and the uses of energy. This is represented by vectors which are either positive or negative (representing whether energy is being produced or used):
-vectors have positive numbers to represent energy produced in a sector (e.g. for the supply sector sheets like II.a, electricity is positive because itÕs energy produced)
-whereas in the demand sector sheets, values are shown as negative because these sectors require energy. For example the transport sector requires electricity and liquid hydrocarbons, shown as negative numbers."	Amber	Ruth		GH	Colombian team
All sectors	167	"At the moment we have a draft version of all the driver trees. But now we are going to start with the development of the sector sheets.  Can you give us a list of possible rules, conditions or tips that we should consider in order to validate the integrity of the sector sheets? "	"We have lots of guidance on Quality Assurance available, and this is summarised in the following links:
Tips and examples: http://book.2050.org.uk/calculator-book/common-excel-errors-and-how-to-avoid-them.html
Checklists you can use: http://book.2050.org.uk/calculator-book/apendix-12-quality-assurance-checklists.html
The rest of this FAQ summary will also help you with particular questions."	Amber	Ruth		EH	Colombian team
All sectors	94	"When should we use documentation/footnotes and when not?
For example, we used other models to forecast the change in different Mexican cities. Should we include all of that detail in the main spreadsheet?
"	"The main reasons for using documentation are:
Simplicity - it makes the spreadsheet much easier to use and to follow (especially when you use clear labels, and put more detailed notes into footnotes so that it doesn't break up the page too much)
Transparency - any colleagues and stakeholders can immediately see your sources, recreate data or substitute their preferred data
To avoid confusion -for example, if someone might expect a calculation to use rural population, but you have decided to total population, you should explain the reasoning behind your decision. Without this, someone might misunderstand the numbers, or it might be picked up as an error in future, when actually this is what you intended to do
To enable stakeholders/future developers of the spreadsheet to track down the data that you used, or recreate the reasoning you have used.
So in this example, we would recommend using footnotes which describe your methodology in a sentence or two. Then (if possible) we'd suggest including a link to any separate spreadsheets you have used, so that people can see more detail. But this isn't essential, particularly in a first launch, as it can easily be added later."	Amber		Do you think this covers everything?	EH	Mexico - transport call
All sectors	164	At what stage should we write our one pagers?	TBD	Red				Colombian team
All sectors	88	Is there any easy way to identify the location of external references in the Excel file so that we can remove them?	"Yes, you could try this macro: https://gist.github.com/tamc/dc15127a0b7475689e4e.
We also have a detailed set of instructions for merging sheets into the master spreadsheet, and identifying external references in named ranges or cells. Please ask the team for this. This includes details on how you can ensure that none of the named cells or ranges are defined in external spreadsheets.  It is easy to spot incidences of this problem by looking at the 'Name Manager' in the 'Formulas' tab; in the 'Refers to' column the long file paths to the external sheet will stand out."	Green	Greg/Ruth		RC done	Greg's summary
All sectors	91	Could you please explain me in more detail which is the use of the subtotals in the years sheets?. Is it important to the calculations of the energy balance or is it only to make summary of the calculations?	"On your subtotals question, our 2050 book has an explanation which should be helpful for you:
http://book.2050.org.uk/calculator-book/appendix-1-the-excel-model-structure.html#year-sheets
 
There is also another part we havenÕt yet added to the book, but you might find useful:
Communication between sectors
There are a number of places where an apparently ad hoc energy flow calculation is performed within the annual balance sheets rather than in a sectoral worksheet. In particular, you will notice that subtotals are calculated for certain fuel types and used by the heat supply (XVII.a), power generation (II.a, I.b, I.a), electricity distribution (VII.b), and biomass (V.a and V.b) sectors, a subtotal is computed. This subtotal is the total energy flow, of a particular fuel type, from a subset of the sectors. (There is a similar calculation done for XVI.b, balancing imports, which really should have been done in its own sectoral worksheet).
What is going on turns out to be straightforward, although it certainly doesn't appear so at first glance. The job of certain sectors is to supply (or demand) an amount of energy that is not fixed by the assumptions, but depends upon what is demanded by the rest of the model. For example, electricity from gas generation is produced in whatever quantity is required to meet the total demand for electricity. So somehow the amount of electricity demanded needs to be passed to that sector. The subtotal adds up all the flows except those from one particular sector.
"	Green	Ruth	Need to integrate	GH done	Colombian team
All sectors	111	"Why is such a complicated formula used. For example, in the UK's nuclear sheet II.a, row 28 has the following formula:
=(INDEX(G$24:G$27,ROUNDDOWN($E$7,0))*(1-MOD($E$7,1)))+(INDEX(G$24:G$27,ROUNDUP($E$7,0))*MOD($E$7,1))"	"This formula allows people to enter any fractional levels between 1 and 4, so that people can choose any level of ambition that they want.
The way it does this is by interpolating between the two levels. So for example if someone selects level 2.25, the calculation will take:
the value for level 2   +     1/4 of the difference between level 2 and level 3."	Green	Ruth		GH done	Ruth question idea
Balancing	77	"Did you design the year sheets according to the UK energy balance? Would we want to keep the same order of sectors and energy sources, or should we customize the spreadsheet according to ColombiaÕs energy balance. "	"We arranged the UK version according to the way that our Calculator is structured, and to some extent, based on the way that our statistics are recorded. If you want to make changes to the year sheets for Colombia that is fine Ð particularly if it would make it more credible for experts in Colombia. The main rules you should follow is that you should account for all of the vectors in your individual sector/technology sheets, and you should be careful to make sure you donÕt double-count units of energy.
ItÕs worth looking in detail at one of the UK year sheets if you have not done so already as there are some aspects of them that are based on how our energy system works. The link below explains how the year sheets work, or weÕd be happy to do that with you if that sounds useful: http://book.2050.org.uk/calculator-book/appendix-1-the-excel-model-structure.html#year-sheets"	Green	Ed		RC done	Colombian team
Balancing	187	"From renewable tech sheet, e.g. solar
you don't have any explicit inclusion of backup sources. How would that be done?"	TBD	Red	Ed/Ruth			Mexican workshop
Balancing	190	"What happens if we take level 4 for all technologies? We're going to have even more technology than we need, so what happens to remaining electricity?"	TBD	Red	Ed/Ruth			Mexican workshop
Balancing	9	What is the default fossil fuel?	"In the UK we assume our default fossil fuel is gas. This may not be the case in other countries
If you wish to develop a Calculator for another country, it is worth considering what it is reasonable to assume for your default fossil fuel (i.e. would it be gas like for the UK?)"	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Balancing	57	Do you account for the wind not blowing?	"We have a stress test that tells you based on your electricity generation mix and back up capacity choices (interconnectors, pumped storage and EV demand shifting) how much extra back up capacity is required given a 5 day cold snap with little wind and peak heating demand. This scenario was based on past wind data and peak demand for heating and it represents the harshest test to the grid we found in past data. 
For most pathways with high intermittent renewables, back up capacity options are exhausted over the 5 day period and back up generation (we have assumed CCGTs) is meeting the gap in supply and demand. Therefore, we believe this test is suitably harsh that enough back-up capacity is built to cover intermittency and peaking problems (please tell us if you have evidence of a harsher test).
However, there are two areas we would like to improve going forward:
 ¥Better data on the frequency of intermittency
 ¥Forecasts of weather going forward rather than relying on past data"	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Balancing	83	"In the Control sheet, the Energy Demand plot contain a ""Dummy"" series, whose purpose (at least visually) seems to be balancing with supply, even when demand is actually lower. Where is this Dummy defined and controlled?"	"The dummy is defined in row 20 of the intermediate output sheet. The series isnÕt visible on the chart as itÕs transparent Ð so isnÕt really important. As you mention, this series shows the difference between total demand and total primary supply (more on this in question 84)."	Amber	Greg	Can we explain more - why is the series shown if not important?	GH/TC	Greg's summary
Balancing	84	"We were given to understand that the Calculator automatically balances demand and supply, but this does not seem the case from the plots (for instance, the standard scenario gives a much higher output supply than demand, with the Dummy series apparently compensating). Is balance only considered for the emissions? How are the various energy sources affected?"	"The key thing here is that the demand plot shows final consumption and the supply plot shows primary supply. 
This difference between these two is explained by losses (conversion, transmission, etc)."	Green	Greg		RC done	Greg's summary
Balancing	81	"I have the problem of understanding functions in sheet I.a, table ""Electricity required"". Could you please explain, preferably with example similar to those you used during your lecture."	"This sector forms part of the balancing mechanism within the calculator, which ensures that any shortfall in electricity supply is met by fossil fuels sector. Row 15 returns the total final electricity demand across all of the demand sectors. Row 16 calculates how much low carbon electricity is being generated by your pathway. Further down the sheet the difference between these two values is calculated, which is equivalent to the shortfall in electricity supply under the chosen pathway. This determines the amount of electricity that needs to be generated within sector 1.a, i.e. using fossil fuels.
The formulae used here are a little bit complex, e.g. from =I.a!F15: =INDEX(INDIRECT(""'""&I.a.Inputs[#Headers]&""'!Year.Matrix""), MATCH(""Subtotal.""&$A$2, INDIRECT(""'""&I.a.Inputs[#Headers]&""'!Year.Modules""), 0), MATCH([Vector], INDIRECT(""'""&I.a.Inputs[#Headers]&""'!Year.Vectors""), 0))
This is essentially an index function, which allows you to return a value from an array based on a row and column that you specify. Here the row and columns references are specified using match functions, which effectively look through the row and column labels and return the position of the thing (i.e. vector/sector) that you are looking for. IÕve broken this down into its components below and tried to give an explanation of what is happening:
=INDEX(INDIRECT(""'""&I.a.Inputs[#Headers]&""'!Year.Matrix"") Ð this part of the formula specifies the array, by combining the corresponding header from the 1.a.inputs table (here 2007) with the text Ò!Year.MatrixÓ to look at the named range of cells called Year.Matrix on the 2007 year sheet. Referring to the name manager (access this via the formula tab in Excel) reveals that the range being specified here for the index function is 2007!G6:BL110.
MATCH(""Subtotal.""&$A$2, INDIRECT(""'""&I.a.Inputs[#Headers]&""'!Year.Modules""), 0) Ð here the row from which to return the value is specified. This is done via a match function that returns the position the text string Subtotal.""&$A$2 (which is equivalent to ÒSubtotal.1.aÓ), within the Year.Modules range (cells C6:C110, again as shown by the name manager) on the 2007 year sheet. To summarise, this is effectively specifying that the appropriate value be returned from the row of the year sheet that is labelled Subtotal.I.a (i.e. row 80).
MATCH([Vector], INDIRECT(""'""&I.a.Inputs[#Headers]&""'!Year.Vectors""), 0)) - here the column from which to return the value is specified. This is done via a match function that returns the position the Vector, here 1.a, within the Year.Vectors range (cells G6:BL5, again as shown by the name manager) on the 2007 year sheet."	Green	Greg		GH done	Greg's summary
Balancing	13	"In case of electricity storage what do you mean by peak power?
Is it the capacity of storage facilities (pumped hydro, batteriesÉetc.) or the possible peak power of peak power plants (natural gas based, below 1500 hours/a function)? (VII. c sheet)"	The capacity of the storage facilities	Green	wiki		GH done	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Balancing	12	"Regarding the electricity import-export balance why is only the CSP import taken into account? Does the fact that it is from CSP have any consequences on emission or not? If not, could we use it for any kind of electricity import? (plus please refer to questions 1-2) (VII. a sheet)."	"We assumed that electricity imports would come from concentrated solar power, as this seems to be a reasonable assumption for the UK. We do not include the emissions from this sector as the emissions occur outside the UK.
You can use this sector for any type of electricity import Ð but make sure you reflect what is possible (i.e. how much would the exporting country need for themselves?)"	Green	wiki		LA	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Balancing	16	Would it be possible to apply trajectories to electricity network losses? Since in the modelling network losses are as fixed indicators.	"Yes, if you think this is necessary. This would be simple to model if you can agree trajectories with stakeholders. This would be included in sheet V11.b."	Amber	wiki	Do we need more detail?	GH/TC	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Balancing	43	"On the ""Energy flows"" tab of the webtool, why do you show losses from thermal plants but not from other technologies such as renewables"	"The methodology here (http://2050-calculator-tool-wiki.decc.gov.uk/pages/28?redirect_from=Methodology) is consistent with that used in DECC's publication series Digest of UK Energy Statistics (DUKES).
The Calculator follows the transformation of energy from one type to another.  The start and end points for these transformations are set to ensure that we capture the main aspects that we are interested in.  On the supply side, for example, we are not necessarily concerned about the amount of lost wind, as this has no bearing on the headline results of the model.  Similarly, on the demand side, we stop following the transformation of energy at the point of consumption; i.e. we have a final energy type 'road-transport' which marks the stopping point (we could have followed this further to calculate the energy being transformed into heat, noise etc, but again, this would have been surplus to the main aims of the model)."	Amber	wiki	Do we need to say if other countries can change?	GH done	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Balancing	10	"Regarding the electricity production mix, where is it possible to feed into the modelling the natural gas and coal based capacities (and their trajectories)?"	"There is no assumed limit on the imports of gas or our capacity for gas-based generation in the UK. For coal, the model uses the current coal power and decommissions this over time. To incorporate a cap or trajectories on gas or coal capacities, amend sector Ò1.aÓ."	Amber	wiki	Add India	RC	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Balancing	11	How is the total electricity demand calculated? How is the supply-demand matched (are there enough capacities)? The difference then could be compensated with the export-import balance.	"The user chooses how much electricity is demanded by selecting the effort to decarbonise in the demand levers. The Calculator then sums the electricity demand across the demand sectors. The Calculator meets this demand with supply.
Also see the answer to the question ""Are the sectors connected (e.g. do supply-demand match)?"" (number 8 in this list)"	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Bioenergy	120	"Within the calculator, you use the basic assumption that biomass can replace any fuel of similar physical state. Why do you do this?"	"Biomass is treated as a perfect substitute, in terms of energy content, for fossil fuels where:
¥ Solid biomass substitutes for coal
¥ Liquid biomass substitutes for oil, petrol, aviation fuel and diesel
¥ Gaseous biomass substitutes for natural gas
Note that coal and solid biomass are a substitute given the same energy content. So, 1kg of coal is not considered equivalent to 1kg of biomass but 1TWh of coal is considered equivalent to 1TWh of biomass. The original biomass extracted also faces conversion losses before it is used as a direct substitute.Ó
It is assumed biomass will be burnt ahead of fossil fuels in sectors which demand hydrocarbon fuel. An important choice for biomass is therefore which form to convert raw biomass into in order to substitute different fossil fuels. Therefore, in thermal power generation if a user chooses biomass to be supplied, it is assumed to be used wherever it can substitute for a fossil fuel. For coal/biomass plants, this could be 100% biomass or 100% coal depending on how much solid biomass the user supplies and the demands for solid hydrocarbons from other sectors (such as Industry).
"	Green	PAR		LA	Ruth question idea
Bioenergy	39	How is bioenergy treated?	"The emissions from burning biomass are counted as fossil fuel combustion and then exactly offset by a Ôbioenergy creditÕ. This has the effect of making bioenergy zero emissions, except if it is used in carbon capture and storage, in which case it becomes negative emissions.
For example, on this pathway: Pathway e0dÉ141
If you hover your mouse over the bottom-most blue bar on the right hand chart you will see that it is labelled as bioenergy credit -48 MtCO2e a year. This assumption is, of course, crude, because it assumes that:
 1.There are no additional land use change emissions from the bio-energy
 2.That the conversion of bioenergy from raw material to useful fuel is powered by bioenergy (so that there are no extra emissions in conversion)."	Amber	wiki	Is this still true?	TC	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Bioenergy	141	"Isn't it better to reduce waste, rather than to produce more waste for energy?"	"The GovernmentÕs overall objective is to work towards a zero waste economy where resources are fully valued Ð financially and environmentally Ð throughout the economy where we move towards zero waste to landfill. By prioritising waste management
activities according to the Ôwaste hierarchyÕ  the Government aims to break the link between economic growth and the environmental impact of waste. Management activities towards the top of the hierarchy are more sustainable ways of managing waste than those lower down Ð for example, preventing waste from being created in the first place is more resource and carbon efficient than recycling it or disposing of it in another way. Disposal to landfill should be the very last option for dealing with waste.
Therefore, underlying the trajectories is the assumption that the primary aim of waste policy is the reduction of waste, not the production of bioenergy. However, although they accommodate the major waste and landfill targets, these trajectories are high level and not intended as simulations of specific waste policies."	Amber				
Bioenergy	130	"How is biomass allocated across the sectors? 
"	"In the UK model, the use of biofuels in place of fossil fuel is done at an aggregate level, so the use of biofuels in not attributed to specific sectors.  Biomass is produced in the spreadsheet as a result of a combination of user choices across a number of sectors.
The user specifies the amount of domestically produced biomass and how they want this to be converted into different forms (a mix of gaseous, liquid and solid).
This is combined with imported biomass to provide the total available biomass. (i.e.. the quantity of bio used in the system is calculated at an aggregate level, rather than at a sector level, and the implications for emission are calculated, via the bio-energy credit section of the years sheets.)
This total biomass is then used up by the sectors that use the corresponding end use forms of fuel. 
When the user selects options that need a solid fuel in the Calculator, the fuels available are used up in a particular order, as follows: domestic biomass and imported biomass; then domestic coal; and finally imported coal. If a preferential fuel type is not available then the Calculator uses the next type. The same order of preference is assumed for oil and liquid biomass and for natural gas and gaseous biomass, where biomass is used ahead of fossil fuel sources when it is available. 
The India Calculator has a more detailed approach, which, for example, allows the quantity of fuel wood used for domestic cooking to be identified.
"	Green			GH done	
Bioenergy	122	How would we account for wood used for heating/cooking?	"We donÕt really use wood as fuel source in UK
We treat biofuels as being carbon neutral, so any carbon used is sequestered. This is an assumption we might revisit (based on some biofuels work recently within DECC), as it may be that overall emissions are higher than we assumed when starting this."	Amber	Greg&Ed/Ruth adapted		EH	Mexican workshop
Bioenergy	123	"YouÕve included the technology of marine algae, does that exist in UK - has that been proven?
If not proven, why have you taken it into consideration?
"	"There are many projects where we are still investigating if they're feasible - maybe in the same way as carbon sequestration it might be possible to work, but no-one knows yet for sure. The UK has a big coastline, so there was a lobby asking to include it in our model so that we can judge the effect in comparison to other options.
ItÕs another example where the team had to take political criteria into account, and include something that is significant to some key audiences of the tools even though the impact may be small or uncertain.
Marine algae seem unlikely to offer a realistic source of energy, though some small scale PBRs are in existence for production of high value products. Micro-algae yields can be improved through the addition of CO2 or nutrients, for example from power stations, factories or waste water treatment plants.
Due to the generally perceived lack of suitability of conditions in the UK for producing micro-algae on a scale required to make a significant contribution to energy supply, the UK calculator focuses on the production of macro-algae. Micro-algae is considered one of the processes which could contribute to the higher levels of global supply of biofuels considered in trajectory 4 of the bioenergy imports section below.
"	Amber	Greg&Ed/Ruth adapted		EH	Mexican workshop
Bioenergy	142	Is gasification a mature enough technology to include?	"During our Call for Evidence in 2010, a small minority of respondents suggested that gasification was not a sufficiently mature technology to be considered in the Calculator. However, we believe that given the technological progress made so far and the 40-year timeframe of the Calculator, inclusion of gasification is legitimate. Research literature indicates that although gasification has yet to be demonstrated at a large-scale level, there are already a series of successful small-scale demonstration projects taking place. An NNFCC roadmap looking at the technology suggests that entrained flow gasification plants capable of processing up to 3,000 tonnes of biomass per day could be online before 2015. This is a significant scale of activity, and it is quite possible to imagine this improving further out to 2050. We did not receive any responses suggesting we had missed other significant technology options that could affect our treatment of biomass conversion."	Amber	PAR	Still up to date?	TC	Ruth question idea
Bioenergy	143	How does the UK Calculator model anaerobic digestion?	"Anaerobic digestion is considered as part of the technology packages for heating, improved manure management processes in land
use management and as part of the energy from waste generation process.
During our Call for Evidence in 2010, a small number of respondents suggested that biomethane and other forms of biogas are under-represented in the model. The Calculator does allow for the possibility of biogas in the model (indeed, it is possible to focus biomass conversion on to gas), but the treatment of it is slightly unclear. Once biomass has been converted to a usable form of energy in the Calculator, whether solid, liquid or gas, it is considered to be directly substitutable for fossil fuel hydrocarbons. Therefore biomethane is considered within Ôgaseous hydrocarbonsÕ and is transported to its end use as such. This is why it does not appear explicitly in the Calculator, even though it may form an important part of various 2050 pathways.
"	Amber	PAR	Still up to date?		Ruth question idea
Bioenergy	119	What's the order of preference for biofuels?	"The model has the following fuel preference order.
When the user selects options that need a solid fuel in the Calculator, the fuels available are used up in a particular order, as follows: domestic biomass and imported biomass; then domestic coal; and finally imported coal. If a preferential fuel type is not available then the Calculator uses the next type.
The same order of preference is assumed for oil and liquid biomass and for natural gas and gaseous biomass, where biomass is used ahead of fossil fuel sources when it is available.  
"	Green	Training slide		LA	Ruth question idea
